realisation,dbottom,dhyp,dip,dtop,hdepth,hlat,hlon,is_point_source,length,mag,rake,shyp,strike,tect_type,width,zbot,ztor
RidgeROkaia2_REL04,18.04209831908944,12.0125,70.0,0.0,8.72227,-39.882217,174.602371,False,11.25,6.743168568621155,-105.5725469101371,5.3687,207.0,ACTIVE_SHALLOW,19.2,18.04209831908944,0.0
RidgeROkaia2_REL14,18.04209831908944,14.6625,70.0,0.0,11.6773,-39.83287,174.623657,False,11.25,7.0639655222931435,-88.86416540684607,0.2108,207.0,ACTIVE_SHALLOW,19.2,18.04209831908944,0.0
RidgeROkaia2_REL18,18.04209831908944,9.81,70.0,0.0,7.18949,-39.87944,174.610764,False,11.25,6.705101887583556,-101.76033173357571,4.3228,207.0,ACTIVE_SHALLOW,19.2,18.04209831908944,0.0
CardronaS_REL13,18.01332839871632,14.8281,60.0,0.0,12.713,-44.946838,168.860107,False,28.5,6.674633941052964,52.351244782227106,6.7586,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL07,18.01332839871632,13.9405,60.0,0.0,11.9426,-44.873581,168.906662,False,28.5,6.833304371885737,34.44221805208582,-2.2944,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL06,18.01332839871632,6.8056,60.0,0.0,5.86427,-44.879501,168.951157,False,28.5,6.966851331240652,45.067273204010256,-3.545,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL25,18.01332839871632,11.1718,60.0,0.0,9.54549,-44.951828,168.882278,False,28.5,6.7102520895584,38.398883798044146,6.3292,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL22,18.01332839871632,7.9094,60.0,0.0,6.80598,-44.865311,168.951584,False,28.5,6.97387802720105,67.73859474752021,-4.9496,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL09,18.01332839871632,14.2167,60.0,0.0,12.1138,-44.924988,168.876907,False,28.5,6.911520747766831,71.91724075132439,3.9634,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL10,18.01332839871632,18.4889,60.0,0.0,15.795,-44.906097,168.858398,False,28.5,6.689501681708354,22.360533643974122,2.8206,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL11,18.01332839871632,17.7444,60.0,0.0,15.1957,-44.878418,168.878418,False,28.5,6.713025640179463,37.30304238087172,-0.732,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL21,18.01332839871632,8.9839,60.0,0.0,7.66207,-44.909088,168.920715,False,28.5,6.757468071293874,21.58868872499744,0.6201,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
CardronaS_REL17,18.01332839871632,17.1071,60.0,0.0,14.5965,-44.897537,168.872559,False,28.5,6.679690617414616,57.217950854991045,1.3935,201.0,ACTIVE_SHALLOW,20.8,18.01332839871632,0.0
